date,value
9/5/2016,1201
10/5/2016,2329
11/5/2016,1716
12/5/2016,10539
13/5/2016,6933
14/5/2016,3127
15/5/2016,2927
16/5/2016,2591
17/5/2016,3403
18/5/2016,5410
19/5/2016,19736
20/5/2016,17491
21/5/2016,13370
22/5/2016,13158
23/5/2016,13887
24/5/2016,15336
25/5/2016,14779
26/5/2016,18060
27/5/2016,19997
28/5/2016,19044
29/5/2016,20325
30/5/2016,16607
31/5/2016,16616
1/6/2016,13007
2/6/2016,10329
3/6/2016,10155
4/6/2016,7431
5/6/2016,16031
6/6/2016,16621
7/6/2016,18335
8/6/2016,18072
9/6/2016,18139
10/6/2016,17087
11/6/2016,16098
12/6/2016,16147
13/6/2016,17570
14/6/2016,19395
15/6/2016,18584
16/6/2016,17628
17/6/2016,21691
18/6/2016,21681
19/6/2016,19204
20/6/2016,28508
21/6/2016,26805
22/6/2016,21424
23/6/2016,19820
24/6/2016,19230
25/6/2016,21923
26/6/2016,22685
27/6/2016,24278
28/6/2016,21423
29/6/2016,27734
30/6/2016,26696
1/7/2016,28372
2/7/2016,26393
3/7/2016,27011
4/7/2016,24236
5/7/2016,23843
6/7/2016,24374
7/7/2016,28507
8/7/2016,31184
9/7/2016,27404
10/7/2016,26079
11/7/2016,20339
12/7/2016,21510
13/7/2016,20391
14/7/2016,23278
15/7/2016,22815
16/7/2016,20261
17/7/2016,20331
18/7/2016,19703
19/7/2016,15445
20/7/2016,22046
21/7/2016,27290
22/7/2016,28662
23/7/2016,25053
24/7/2016,19733
25/7/2016,25646
26/7/2016,19637
27/7/2016,23587
28/7/2016,25719
29/7/2016,21667
30/7/2016,16002
31/7/2016,16223
1/8/2016,20947
2/8/2016,20345
3/8/2016,24118
4/8/2016,24951
5/8/2016,27880
6/8/2016,20900
7/8/2016,23536
8/8/2016,24471
9/8/2016,24828
10/8/2016,31583
11/8/2016,30393
12/8/2016,29488
13/8/2016,26206
14/8/2016,29686
15/8/2016,32229
16/8/2016,34396
17/8/2016,43003
18/8/2016,35206
19/8/2016,32362
20/8/2016,37583
21/8/2016,36559
22/8/2016,36701
23/8/2016,32726
24/8/2016,29315
25/8/2016,32786
26/8/2016,35489
27/8/2016,36366
28/8/2016,33765
29/8/2016,36915
30/8/2016,39619
31/8/2016,38173
1/9/2016,40709
2/9/2016,37609
3/9/2016,30250
4/9/2016,36077
5/9/2016,35320
6/9/2016,39098
7/9/2016,43401
8/9/2016,40258
9/9/2016,44787
10/9/2016,44586
11/9/2016,39262
12/9/2016,42667
13/9/2016,49746
14/9/2016,43645
15/9/2016,38780
16/9/2016,36125
17/9/2016,31797
18/9/2016,32304
19/9/2016,36840
20/9/2016,37441
21/9/2016,38492
22/9/2016,38324
23/9/2016,44985
24/9/2016,37708
25/9/2016,39081
26/9/2016,41089
27/9/2016,41296
28/9/2016,53158
29/9/2016,70669
30/9/2016,58802
1/10/2016,49179
2/10/2016,44043
3/10/2016,32660
4/10/2016,41797
5/10/2016,39348
6/10/2016,23874
7/10/2016,25963
8/10/2016,23848
9/10/2016,23573
10/10/2016,27459
11/10/2016,27601
12/10/2016,26521
13/10/2016,24865
14/10/2016,24934
15/10/2016,20609
16/10/2016,22301
17/10/2016,26623
18/10/2016,25319
19/10/2016,29076
20/10/2016,23217
21/10/2016,22343
22/10/2016,19571
23/10/2016,20457
24/10/2016,25670
25/10/2016,27317
26/10/2016,26489
27/10/2016,27207
28/10/2016,23258
29/10/2016,22975
30/10/2016,24828
31/10/2016,26423
1/11/2016,25856
2/11/2016,26565
3/11/2016,30183
4/11/2016,28981
5/11/2016,25849
6/11/2016,25287
7/11/2016,27790
8/11/2016,26744
9/11/2016,25489
10/11/2016,117906
11/11/2016,159186
12/11/2016,33775
13/11/2016,22762
14/11/2016,24449
15/11/2016,30817
16/11/2016,33673
17/11/2016,35712
18/11/2016,50298
19/11/2016,42964
20/11/2016,47789
21/11/2016,52663
22/11/2016,51329
23/11/2016,48490
24/11/2016,46822
25/11/2016,29973
26/11/2016,25239
27/11/2016,27955
28/11/2016,31749
29/11/2016,29694
30/11/2016,27470
1/12/2016,32666
2/12/2016,36075
3/12/2016,31115
4/12/2016,23536
5/12/2016,25527
6/12/2016,28078
7/12/2016,31498
8/12/2016,28919
9/12/2016,27988
10/12/2016,25698
11/12/2016,28806
12/12/2016,31131
13/12/2016,32777
14/12/2016,32015
15/12/2016,42333
16/12/2016,28715
17/12/2016,23503
18/12/2016,23391
19/12/2016,28247
20/12/2016,29969
21/12/2016,28531
22/12/2016,29442
23/12/2016,24747
24/12/2016,20227
25/12/2016,19035
26/12/2016,23076
27/12/2016,25138
